"File","Line","Column","ErrorCode","Message"
"E:\BDC\Projects\SASZombieAssaultTD\Engine\Animation\AnimationComponents\JumpState.cs","50","13","CS0103","The name 'ModernLoggingSystem' does not exist in the current context [E:\BDC\Projects\SASZombieAssaultTD\SASZombieAssaultTD.csproj]"
"E:\BDC\Projects\SASZombieAssaultTD\Engine\Animation\AnimationComponents\AnimationStateInspector.cs","43","17","CS0103","The name 'ModernLoggingSystem' does not exist in the current context [E:\BDC\Projects\SASZombieAssaultTD\SASZombieAssaultTD.csproj]"
"E:\BDC\Projects\SASZombieAssaultTD\Engine\Animation\AnimationComponents\AnimationStateInspector.cs","48","17","CS0103","The name 'ModernLoggingSystem' does not exist in the current context [E:\BDC\Projects\SASZombieAssaultTD\SASZombieAssaultTD.csproj]"
"E:\BDC\Projects\SASZombieAssaultTD\Engine\Animation\AnimationController.cs","187","39","CS1061","'AnimationStateMachine' does not contain a definition for 'ForceTransitionTo' and no accessible extension method 'ForceTransitionTo' accepting a first argument of type 'AnimationStateMachine' could be found (are you missing a using directive or an assembly reference?) [E:\BDC\Projects\SASZombieAssaultTD\SASZombieAssaultTD.csproj]"
"E:\BDC\Projects\SASZombieAssaultTD\Engine\Animation\AnimationController.cs","226","17","CS0103","The name 'ModernLoggingSystem' does not exist in the current context [E:\BDC\Projects\SASZombieAssaultTD\SASZombieAssaultTD.csproj]"
"E:\BDC\Projects\SASZombieAssaultTD\Engine\Animation\AnimationComponents\AnimationStateInspector.cs","56","17","CS0103","The name 'ModernLoggingSystem' does not exist in the current context [E:\BDC\Projects\SASZombieAssaultTD\SASZombieAssaultTD.csproj]"
"E:\BDC\Projects\SASZombieAssaultTD\Engine\Animation\AnimationComponents\AnimationStateInspector.cs","61","17","CS0103","The name 'ModernLoggingSystem' does not exist in the current context [E:\BDC\Projects\SASZombieAssaultTD\SASZombieAssaultTD.csproj]"
"E:\BDC\Projects\SASZombieAssaultTD\Engine\Animation\AnimationComponents\JumpState.cs","73","17","CS0103","The name 'ModernLoggingSystem' does not exist in the current context [E:\BDC\Projects\SASZombieAssaultTD\SASZombieAssaultTD.csproj]"
"E:\BDC\Projects\SASZombieAssaultTD\Engine\Animation\AnimationComponents\JumpState.cs","81","21","CS0103","The name 'ModernLoggingSystem' does not exist in the current context [E:\BDC\Projects\SASZombieAssaultTD\SASZombieAssaultTD.csproj]"
"E:\BDC\Projects\SASZombieAssaultTD\Engine\Animation\AnimationComponents\JumpState.cs","85","17","CS0103","The name 'ModernLoggingSystem' does not exist in the current context [E:\BDC\Projects\SASZombieAssaultTD\SASZombieAssaultTD.csproj]"
"E:\BDC\Projects\SASZombieAssaultTD\Engine\Animation\AnimationComponents\JumpState.cs","91","17","CS0103","The name 'ModernLoggingSystem' does not exist in the current context [E:\BDC\Projects\SASZombieAssaultTD\SASZombieAssaultTD.csproj]"
"E:\BDC\Projects\SASZombieAssaultTD\Engine\Animation\AnimationController.cs","234","17","CS0103","The name 'ModernLoggingSystem' does not exist in the current context [E:\BDC\Projects\SASZombieAssaultTD\SASZombieAssaultTD.csproj]"
"E:\BDC\Projects\SASZombieAssaultTD\Engine\Animation\AnimationController.cs","242","21","CS0103","The name 'ModernLoggingSystem' does not exist in the current context [E:\BDC\Projects\SASZombieAssaultTD\SASZombieAssaultTD.csproj]"
"E:\BDC\Projects\SASZombieAssaultTD\Engine\Animation\AnimationController.cs","267","17","CS0103","The name 'ModernLoggingSystem' does not exist in the current context [E:\BDC\Projects\SASZombieAssaultTD\SASZombieAssaultTD.csproj]"
"E:\BDC\Projects\SASZombieAssaultTD\Engine\Animation\AnimationController.cs","276","17","CS0103","The name 'ModernLoggingSystem' does not exist in the current context [E:\BDC\Projects\SASZombieAssaultTD\SASZombieAssaultTD.csproj]"
"E:\BDC\Projects\SASZombieAssaultTD\Engine\Animation\AnimationClip.cs","298","20","CS0234","The type or namespace name 'Max' does not exist in the namespace 'System.Math' (are you missing an assembly reference?) [E:\BDC\Projects\SASZombieAssaultTD\SASZombieAssaultTD.csproj]"
"E:\BDC\Projects\SASZombieAssaultTD\Engine\Animation\AnimationClip.cs","299","24","CS0234","The type or namespace name 'Max' does not exist in the namespace 'System.Math' (are you missing an assembly reference?) [E:\BDC\Projects\SASZombieAssaultTD\SASZombieAssaultTD.csproj]"
"E:\BDC\Projects\SASZombieAssaultTD\Engine\Animation\AnimationClip.cs","305","13","CS0103","The name 'ModernLoggingSystem' does not exist in the current context [E:\BDC\Projects\SASZombieAssaultTD\SASZombieAssaultTD.csproj]"
"E:\BDC\Projects\SASZombieAssaultTD\Engine\Animation\AnimationController.cs","297","17","CS0103","The name 'ModernLoggingSystem' does not exist in the current context [E:\BDC\Projects\SASZombieAssaultTD\SASZombieAssaultTD.csproj]"
"E:\BDC\Projects\SASZombieAssaultTD\Engine\Animation\AnimationController.cs","304","17","CS0103","The name 'ModernLoggingSystem' does not exist in the current context [E:\BDC\Projects\SASZombieAssaultTD\SASZombieAssaultTD.csproj]"
"E:\BDC\Projects\SASZombieAssaultTD\Engine\Animation\AnimationController.cs","313","17","CS0103","The name 'ModernLoggingSystem' does not exist in the current context [E:\BDC\Projects\SASZombieAssaultTD\SASZombieAssaultTD.csproj]"
"E:\BDC\Projects\SASZombieAssaultTD\Engine\Animation\AnimationEvents\IAnimationEventReceiver.cs","217","44","CS1929","'IReadOnlyList<string>' does not contain a definition for 'Contains' and the best extension method overload 'MemoryExtensions.Contains<string>(ReadOnlySpan<string>, string)' requires a receiver of type 'System.ReadOnlySpan<string>' [E:\BDC\Projects\SASZombieAssaultTD\SASZombieAssaultTD.csproj]"
