"FileName","FullPath","IncludedInCsproj","DuplicateName","BackupPattern","SuspiciousFolder"
"GameplayStubs.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Compatibility\GameplayStubs.cs","False","False","False","False"
"LegacyCompatibilityLayer.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Compatibility\LegacyCompatibilityLayer.cs","False","False","False","False"
"QuickFixes.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Compatibility\QuickFixes.cs","False","False","False","False"
"UnityBlocker.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Compatibility\UnityStubs\UnityBlocker.cs","False","False","False","False"
"AnimationComponent.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Components\AnimationComponent.cs","False","False","False","False"
"ColliderShapes.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Components\ColliderShapes.cs","False","False","False","False"
"CollisionComponent.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Components\CollisionComponent.cs","False","False","False","False"
"HealthComponent.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Components\HealthComponent.cs","False","True","False","False"
"InventoryComponent.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Components\InventoryComponent.cs","False","False","False","False"
"ParticleEmitterComponent.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Components\ParticleEmitterComponent.cs","False","False","False","False"
"PhysicsComponent.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Components\PhysicsComponent.cs","False","False","False","False"
"SpriteComponent.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Components\SpriteComponent.cs","False","False","False","False"
"StatsComponent.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Components\StatsComponent.cs","False","False","False","False"
"TransformComponent.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Components\TransformComponent.cs","False","True","False","False"
"TriggerComponent.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Components\TriggerComponent.cs","False","False","False","False"
"UIComponent.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Components\UIComponent.cs","False","False","False","False"
"GameLoop.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Core\GameLoop.cs","False","False","False","False"
"GameLoopTest.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Core\GameLoopTest.cs","False","False","False","False"
"IProgram.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Core\IProgram.cs","False","False","False","False"
"TimingController.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Core\TimingController.cs","False","False","False","False"
"InputModule.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Core\Input\InputModule.cs","False","True","False","False"
"InputModuleTest.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Core\Input\InputModuleTest.cs","False","False","False","False"
"ILogger.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Core\Logging\ILogger.cs","False","False","False","False"
"FrameDiagnostics.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Core\Timing\FrameDiagnostics.cs","False","False","False","False"
"TimingModule.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Core\Timing\TimingModule.cs","False","False","False","False"
"BaseComponent.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\ECS\BaseComponent.cs","False","False","False","False"
"ECSDebugInspector.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\ECS\ECSDebugInspector.cs","False","False","False","False"
"ECSTestSuite.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\ECS\ECSTestSuite.cs","False","True","False","False"
"ECSVerificationReport.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\ECS\ECSVerificationReport.cs","False","False","False","False"
"ECSVerificationSuite.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\ECS\ECSVerificationSuite.cs","False","False","False","False"
"ECSWorld.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\ECS\ECSWorld.cs","False","False","False","False"
"Entity.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\ECS\Entity.cs","False","True","False","False"
"EntityFactory.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\ECS\EntityFactory.cs","False","False","False","False"
"EntityManager.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\ECS\EntityManager.cs","False","True","False","False"
"IComponent.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\ECS\IComponent.cs","False","False","False","False"
"IEntityComponent.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\ECS\IEntityComponent.cs","False","False","False","False"
"IGameSystem.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\ECS\IGameSystem.cs","False","False","False","False"
"ActiveComponent.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\ECS\Components\ActiveComponent.cs","False","False","False","False"
"AnimationControllerComponent.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\ECS\Components\AnimationControllerComponent.cs","False","False","False","False"
"DamageComponent.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\ECS\Components\DamageComponent.cs","False","False","False","False"
"EnemyTypeComponent.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\ECS\Components\EnemyTypeComponent.cs","False","False","False","False"
"HealthComponent.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\ECS\Components\HealthComponent.cs","False","True","False","False"
"MovementComponent.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\ECS\Components\MovementComponent.cs","False","False","False","False"
"NavAgentComponent.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\ECS\Components\NavAgentComponent.cs","False","False","False","False"
"RenderableComponent.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\ECS\Components\RenderableComponent.cs","False","False","False","False"
"ScoreComponent.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\ECS\Components\ScoreComponent.cs","False","False","False","False"
"TransformComponent.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\ECS\Components\TransformComponent.cs","False","True","False","False"
"AISystem.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\ECS\Systems\AISystem.cs","False","False","False","False"
"AnimationECSIntegration.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\ECS\Systems\AnimationECSIntegration.cs","False","True","False","False"
"AnimationSystem.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\ECS\Systems\AnimationSystem.cs","False","True","False","False"
"CollisionSystem.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\ECS\Systems\CollisionSystem.cs","False","True","False","False"
"CombatSystem.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\ECS\Systems\CombatSystem.cs","False","False","False","False"
"ISystem.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\ECS\Systems\ISystem.cs","False","False","False","False"
"NavigationSystem.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\ECS\Systems\NavigationSystem.cs","False","False","False","False"
"RenderSystem.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\ECS\Systems\RenderSystem.cs","False","True","False","False"
"ScoringSystem.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\ECS\Systems\ScoringSystem.cs","False","False","False","False"
"ECSTestSuite.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\ECS\Testing\ECSTestSuite.cs","False","True","False","False"
"Enemy.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Entities\Enemy.cs","False","False","False","False"
"EnemyData.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Entities\EnemyData.cs","False","False","False","False"
"Entity.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Entities\Entity.cs","False","True","False","False"
"Projectile.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Entities\Projectile.cs","False","False","False","False"
"Soldier.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Entities\Soldier.cs","False","False","True","False"
"Turret.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Entities\Turret.cs","False","False","False","False"
"IInputSource.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Input\IInputSource.cs","False","False","False","False"
"InputEvent.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Input\InputEvent.cs","False","False","False","False"
"InputEventTypes.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Input\InputEventTypes.cs","False","False","False","False"
"InputManager.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Input\InputManager.cs","False","False","False","False"
"InputPlayback.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Input\InputPlayback.cs","False","False","False","False"
"InputRecorder.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Input\InputRecorder.cs","False","False","False","False"
"KeyboardInputSource.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Input\KeyboardInputSource.cs","False","False","False","False"
"MouseInputSource.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Input\MouseInputSource.cs","False","False","False","False"
"EnemyManager.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Managers\EnemyManager.cs","False","False","False","False"
"EntityManager.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Managers\EntityManager.cs","False","True","False","False"
"ProjectileManager.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Managers\ProjectileManager.cs","False","False","False","False"
"WaveManager.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Managers\WaveManager.cs","False","False","False","False"
"MemoryTracker.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Memory\MemoryTracker.cs","False","False","False","False"
"ObjectPool.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Memory\ObjectPool.cs","False","False","False","False"
"AStarPathfinder.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Navigation\AStarPathfinder.cs","False","False","False","False"
"FlowField.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Navigation\FlowField.cs","False","False","False","False"
"NavigationDebugRenderer.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Navigation\NavigationDebugRenderer.cs","False","False","False","False"
"NavigationGrid.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Navigation\NavigationGrid.cs","False","False","False","False"
"NavigationMigrationHelper.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Navigation\NavigationMigrationHelper.cs","False","False","False","False"
"NavigationVerificationSuite.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Navigation\NavigationVerificationSuite.cs","False","True","False","False"
"PathfindingOptimizer.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Pathfinding\PathfindingOptimizer.cs","False","False","False","False"
"DebugOverlay.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Performance\DebugOverlay.cs","False","True","False","False"
"FramePacer.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Performance\FramePacer.cs","False","False","False","False"
"PerformanceProfiler.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Performance\PerformanceProfiler.cs","False","False","False","False"
"AABBShape.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Physics\AABBShape.cs","False","False","False","False"
"CapsuleShape.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Physics\CapsuleShape.cs","False","False","False","False"
"CircleShape.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Physics\CircleShape.cs","False","False","False","False"
"ColliderComponent.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Physics\ColliderComponent.cs","False","False","False","False"
"CollisionDebugRenderer.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Physics\CollisionDebugRenderer.cs","False","False","False","False"
"CollisionEvent.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Physics\CollisionEvent.cs","False","False","False","False"
"CollisionShape.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Physics\CollisionShape.cs","False","False","False","False"
"CollisionVerificationSuite.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Physics\CollisionVerificationSuite.cs","False","False","False","False"
"PhysicsTuning.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Physics\PhysicsTuning.cs","False","False","False","False"
"SpatialPartitionGrid.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Physics\SpatialPartitionGrid.cs","False","False","False","False"
"Win32Window.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Platform\Win32Window.cs","False","False","False","False"
"DebugOverlay.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Rendering\DebugOverlay.cs","False","True","False","False"
"Framebuffer.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Rendering\Framebuffer.cs","False","False","False","False"
"IRenderContext.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Rendering\IRenderContext.cs","False","False","False","False"
"RenderCommandQueue.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Rendering\RenderCommandQueue.cs","False","False","False","False"
"RenderDiagnostics.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Rendering\RenderDiagnostics.cs","False","False","False","False"
"Renderer.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Rendering\Renderer.cs","False","False","False","False"
"RenderInitValidator.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Rendering\RenderInitValidator.cs","False","False","False","False"
"RenderPipelineConfig.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Rendering\RenderPipelineConfig.cs","False","False","False","False"
"RenderQueue.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Rendering\RenderQueue.cs","False","True","False","False"
"RenderSurface.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Rendering\RenderSurface.cs","False","False","False","False"
"Sprite.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Rendering\Sprite.cs","False","False","False","False"
"SpriteBatch.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Rendering\SpriteBatch.cs","False","False","False","False"
"SpriteBatchOptimizer.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Rendering\SpriteBatchOptimizer.cs","False","False","False","False"
"SpriteBatchRenderer.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Rendering\SpriteBatchRenderer.cs","False","False","False","False"
"TextRenderer.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Rendering\TextRenderer.cs","False","False","False","False"
"Texture2D.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Rendering\Texture2D.cs","False","False","False","False"
"TextureCache.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Rendering\TextureCache.cs","False","False","False","False"
"WindowHost.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Rendering\WindowHost.cs","False","False","False","False"
"PathDebugRenderer.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Rendering\Debug\PathDebugRenderer.cs","False","False","False","False"
"ZombieRenderer.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Rendering\Zombies\ZombieRenderer.cs","False","False","False","False"
"SaveData.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Save\SaveData.cs","False","True","False","False"
"SaveSystem.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Save\SaveSystem.cs","False","False","False","False"
"Entity.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Scene\Entity.cs","False","True","False","False"
"GameplayScene.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Scene\GameplayScene.cs","False","False","False","False"
"MainMenuScene.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Scene\MainMenuScene.cs","False","True","False","False"
"Scene.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Scene\Scene.cs","False","False","False","False"
"SceneManager.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Scene\SceneManager.cs","False","True","False","False"
"BaseScene.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Scenes\BaseScene.cs","False","False","False","False"
"GameScene.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Scenes\GameScene.cs","False","False","False","False"
"LoadingScene.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Scenes\LoadingScene.cs","False","False","False","False"
"MainMenuScene.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Scenes\MainMenuScene.cs","False","True","False","False"
"PauseScene.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Scenes\PauseScene.cs","False","False","False","False"
"SceneManager.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Scenes\SceneManager.cs","False","True","False","False"
"SceneTransitionTest.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Scenes\SceneTransitionTest.cs","False","False","False","False"
"MeanStreetsTest.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Scenes\TestScenes\MeanStreetsTest.cs","False","False","False","False"
"AdvancedStateMachine.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\State\AdvancedStateMachine.cs","False","False","False","False"
"BootState.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\State\BootState.cs","False","False","False","False"
"EnhancedStateMachine.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\State\EnhancedStateMachine.cs","False","False","False","False"
"GameEvent.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\State\GameEvent.cs","False","False","False","False"
"GameplayState.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\State\GameplayState.cs","False","False","False","False"
"GameStateType.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\State\GameStateType.cs","False","False","False","False"
"IGameState.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\State\IGameState.cs","False","False","False","False"
"MainMenuState.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\State\MainMenuState.cs","False","False","False","False"
"PausedState.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\State\PausedState.cs","False","False","False","False"
"StateBuilder.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\State\StateBuilder.cs","False","True","False","False"
"StateDebugger.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\State\StateDebugger.cs","False","False","False","False"
"StateFactory.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\State\StateFactory.cs","False","False","False","False"
"StateMachine.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\State\StateMachine.cs","False","False","False","False"
"StateMachineExtensions.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\State\StateMachineExtensions.cs","False","False","False","False"
"StateMachineIntegration.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\State\StateMachineIntegration.cs","False","False","False","False"
"StateMachineProfiler.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\State\StateMachineProfiler.cs","False","False","False","False"
"StateMachineTest.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\State\StateMachineTest.cs","False","False","False","False"
"StateTransition.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\State\StateTransition.cs","False","False","False","False"
"AnimationSystem.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Systems\AnimationSystem.cs","False","True","False","False"
"CameraSystem.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Systems\CameraSystem.cs","False","True","False","False"
"CollisionSystem.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Systems\CollisionSystem.cs","False","True","False","False"
"DefaultPlatformRenderer.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Systems\DefaultPlatformRenderer.cs","False","False","False","False"
"EventLogSystem.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Systems\EventLogSystem.cs","False","False","False","False"
